Year,PB,WF,All6,Temp,ET,SAM
1957,39645,8616.69,167980.435,20,723781421,-1.6325
1958,13466,42520.544,211291.684,20,723781421,-0.594166667
1959,23541,5135.653,255032.541,20,654904512,0.134166667
1960,22992,467.454,266129.427,19,161497464,0.629166667
1961,43452,97551.514,249519.701,20,723781421,0.286666667
1962,54467,12287.812,369080.445,20,723781421,-0.21
1963,45670,1691.041,372243.074,20,485165195,0.471666667
1964,68377,21567.961,368175.502,19,217998775,-1.519166667
1965,30921,958.834,402179.079,20,536190464,-0.654166667
1966,48487,3855.183,404383.215,20,536190464,-0.46
1967,100473,10709.053,433372.773,21,884028624,-0.25
1968,64512,3747.983,400566.856,19,108254988,-1.116666667
1969,98819,25109.63,404808.973,20,592582108,-0.4025
1970,80116,2995.752,482871.357,20,485165195,-0.409166667
1971,14188,93.044,475713.276,19,119640264,-0.568333333
1972,59301,980.509,479878.236,21,1079754999,-0.9975
1973,58030,6182.748,489554.357,20,294267566,0.388333333
1974,34868,2669.13,455910.047,20,438995623,-0.248333333
1975,42670,2135.562,422449.663,20,654904512,-0.629166667
1976,58328,908.5,341716.951,21,977002726,-0.095
1977,40198,825.639,317786.001,21,977002726,-0.754166667
1978,84872,3986.682,322648.657,21,1457516796,0.211666667
1979,61154,4268.349,349274.897,20,592582108,0.569166667
1980,99051,3342.161,336884.058,20,438995623,-0.9225
1981,46697,6482.252,405320.91,20,294267566,-0.24
1982,65356,1308.576,413841.595,20,359419217,0.391666667
1983,48955,5695.482,421296.514,21,1079754999,0.433333333
1984,34138,2175.511,455696.367,20,438995623,-0.673333333
1985,38834,1300.648,404868.835,21,799902177,0.506666667
1986,64723,1817.161,379865.258,20,294267566,-0.306666667
1987,70951,8715.772,340531.656,,,-0.231666667
1988,45504,26216.787,366871.794,21,1318815734,-0.931666667
1989,47244,2371.896,371900.486,,,0.656666667
1990,43535,1980.538,346093.315,,,-0.336666667
1991,24213,18418.213,354043.039,21,977002726,-0.32
1992,24287,12169.731,356334.374,20,654904512,-0.415
1993,36250,8954.159,328314.584,20,485165195,1.126666667
1994,30102,1128.516,293874.204,22,2174359554,-0.0475
1995,36859,11113.208,253634.642,21,1193313824,0.366666667
1996,42158,8848.345,294718.346,21,1193313824,-0.411666667
1997,29145,18511.603,300593.344,21,1457516796,0.348333333
1998,9107,7693.384,305829.316,21,1193313824,1.598333333
1999,15296,9438.684,284140.279,21,1967441884,1.265833333
2000,10427,6538.992,264739.389,21,1193313824,0.2625
2001,10263,1257.118,250470.778,20,723781421,0.5375
2002,14480,44559.829,171290.774,21,1457516796,-0.506666667
2003,27628,2391.127,178474.937,21,1610805176,0.081666667
2004,48172,4228.905,160548.062,21,1079754999,0.350833333
2005,17739,3778.478,196018.134,20,592582108,0.276666667
2006,36301,4904.988,191710.395,21,1967441884,0.499166667
2007,12683,946.504,215704.039,21,1079754999,-0.27
2008,21895,367.864,217813.009,21,1079754999,0.945833333
2009,40480,7422.947,181036.516,21,1193313824,0.12
2010,33267,16385.216,198919.752,22,2174359554,1.154166667
2011,17343,28870.586,196170.486,22,3961941421,0.236666667
2012,471,33978.139,220866.897,22,3243763284,0.82
2013,3785,411.286,214110.343,22,2174359554,0.2125
2014,18219,262.077,204677.603,22,2174359554,0.505833333
2015,27286,99704.545,200895.777,22,3961941421,1.6075
2016,27352,941.96,279983.228,21,1079754999,0.758333333
2017,15946,59.42,258625.281,21,1457516796,0.545833333
2018,7870,1841.896,228416.681,21,1079754999,0.760833333
